condition,step,depth,seed,layer,probe_train_accuracy,probe_eval_accuracy,answer_accuracy
outcome,0,2,42,0,0.5,0.0,0.0
outcome,0,2,42,1,1.0,0.0,0.0
outcome_local,0,2,42,0,0.5,0.0,0.0
outcome_local,0,2,42,1,1.0,0.0,0.0
outcome,40,2,42,0,1.0,0.0,0.25
outcome,40,2,42,1,1.0,0.0,0.25
outcome_local,40,2,42,0,1.0,0.0,0.125
outcome_local,40,2,42,1,1.0,0.0,0.125
outcome,80,2,42,0,1.0,0.0,0.0
outcome,80,2,42,1,1.0,0.0,0.0
outcome_local,80,2,42,0,1.0,0.0,0.0
outcome_local,80,2,42,1,0.875,0.0,0.0
